Episode:0, reward152.3, passenger51
Episode:1, reward171.0, passenger58
Episode:2, reward-182.5, passenger24
Episode:3, reward-96.3, passenger31
Episode:4, reward-252.8, passenger14
Episode:5, reward360.4, passenger71
Episode:6, reward-184.6, passenger30
Episode:7, reward-55.4, passenger35
Episode:8, reward-426.1, passenger0
Episode:9, reward-101.7, passenger31
Episode:10, reward-78.5, passenger38
Episode:11, reward-227.0, passenger20
Episode:12, reward-253.3, passenger18
Episode:13, reward-227.7, passenger22
Episode:14, reward-260.7, passenger16
Episode:15, reward-47.0, passenger38
Episode:16, reward-236.4, passenger16
Episode:17, reward-281.5, passenger15
Episode:18, reward442.8, passenger85
Episode:19, reward-200.6, passenger23
Episode:20, reward-284.4, passenger13
Episode:21, reward-92.7, passenger40
Episode:22, reward-351.6, passenger7
Episode:23, reward-78.3, passenger31
Episode:24, reward-226.3, passenger18
Episode:25, reward-142.7, passenger26
Episode:26, reward-249.6, passenger19
Episode:27, reward-79.9, passenger33
Episode:28, reward-347.1, passenger7
Episode:29, reward-368.4, passenger10
Episode:30, reward2.5, passenger38
Episode:31, reward216.8, passenger57
Episode:32, reward-42.9, passenger38
Episode:33, reward-182.2, passenger27
Episode:34, reward-323.6, passenger17
Episode:35, reward-135.4, passenger27
Episode:36, reward31.7, passenger42
Episode:37, reward-176.5, passenger21
Episode:38, reward-176.4, passenger22
Episode:39, reward-319.9, passenger9
Episode:40, reward-79.1, passenger32
Episode:41, reward-268.1, passenger14
Episode:42, reward-465.7, passenger0
Episode:43, reward-162.6, passenger25
Episode:44, reward-378.8, passenger5
Episode:45, reward-312.2, passenger14
Episode:46, reward-173.5, passenger24
Episode:47, reward-1.8, passenger40
Episode:48, reward35.6, passenger45
Episode:49, reward-182.8, passenger30
Episode:50, reward323.3, passenger77
Episode:51, reward-132.2, passenger31
Episode:52, reward-130.8, passenger28
Episode:53, reward-90.8, passenger32
Episode:54, reward-250.5, passenger19
Episode:55, reward51.6, passenger43
Episode:56, reward-192.1, passenger27
